file_name,class_name,func_name,docstring
visualize_all.py,,extract_code_info,
main.py,AutomationDashboard,__class__,
main.py,AutomationDashboard,__init__,
main.py,AutomationDashboard,log_msg,
main.py,AutomationDashboard,init_tabs,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,__class__,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,__init__,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,init_ui,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,toggle_search_mode,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,browse_folder,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,clear_preview,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,populate_file_list,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,on_file_selection_changed,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,add_text_edit,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,find_text,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,execute_split_save,
ui/transcript_merge_split_ui.py,Tab5TranscriptMergeSplit,execute_merge_save,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,__class__,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,__init__,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,init_ui,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,emit_log,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,check_macmini_connection,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,scan_drive_for_audio,"2. 기본적으로 항상 전체 드라이브를 스캔하고 조건에 해당하는 파일들만 띄움
- 음성 파일이 있을 것
- 단, 음성 전사 파일이 없을 것 (_음성스크립트.txt or _최종교정본.txt or _done.json or _scripted.pdf 모두 없어야 진짜 없는 것으로 간주)"
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,toggle_all_items,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,update_select_all_ui,
ui/whisper_transcription_ui.py,Tab6WhisperTranscription,execute_transcription,3. 맥미니에 연결하여 다운로드 후 전사 실행. 진행사항 확인.
ui/pdf_merge_ui.py,Tab3PdfMerge,__class__,
ui/pdf_merge_ui.py,Tab3PdfMerge,__init__,
ui/pdf_merge_ui.py,Tab3PdfMerge,init_ui,
ui/pdf_merge_ui.py,Tab3PdfMerge,select_scripted_items,
ui/pdf_merge_ui.py,Tab3PdfMerge,toggle_all_items,
ui/pdf_merge_ui.py,Tab3PdfMerge,on_item_changed,
ui/pdf_merge_ui.py,Tab3PdfMerge,update_select_all_ui,
ui/pdf_merge_ui.py,Tab3PdfMerge,toggle_search_mode,
ui/pdf_merge_ui.py,Tab3PdfMerge,browse_folder,
ui/gemini_processing_ui.py,ScanWorker,__class__,
ui/gemini_processing_ui.py,ScanWorker,__init__,
ui/gemini_processing_ui.py,ScanWorker,run,
ui/gemini_processing_ui.py,KeyBadge,__class__,쿨타임 애니메이션 API 키/모델 뱃지
ui/gemini_processing_ui.py,KeyBadge,__init__,
ui/gemini_processing_ui.py,KeyBadge,set_cooldown,
ui/gemini_processing_ui.py,KeyBadge,set_state,
ui/gemini_processing_ui.py,KeyBadge,paintEvent,
ui/gemini_processing_ui.py,Tab7GeminiProcessing,__class__,
ui/gemini_processing_ui.py,Tab7GeminiProcessing,__init__,
ui/gemini_processing_ui.py,Tab7GeminiProcessing,init_ui,
ui/gemini_processing_ui.py,Tab7GeminiProcessing,toggle_force_rerun,
